#GBE_ID1	GBE_ID2	rG	SE_Jackknife	SE_OLS
INI2005254	INI2005255	0.821284	0.0212266	0.0256108
INI2005254	INI5254	0.985296	0.0434097	0.0376565
INI2005254	INI5255	0.811856	0.0406103	0.0277222
INI2005254	INI5262	0.998911	0.0434669	0.035787
INI2005254	INI5263	0.835363	0.039526	0.028293
INI2005254	HC276	0.778975	0.0314052	0.0366824
INI2005255	INI5254	0.798462	0.039117	0.0307689
INI2005255	INI5255	1.0073	0.0258203	0.0251951
INI2005255	INI5262	0.75938	0.043236	0.02865
INI2005255	INI5263	0.993736	0.0259505	0.0254432
INI2005255	HC276	0.659608	0.0250652	0.0306329
INI5254	INI5255	0.824087	0.0251798	0.0334495
INI5254	INI5262	0.984819	0.0567066	0.0419456
INI5254	INI5263	0.858557	0.0458405	0.0341353
INI5254	HC276	0.769969	0.0372011	0.0418576
INI5255	INI5262	0.748673	0.0485872	0.0307652
INI5255	INI5263	0.990019	0.0319751	0.0275556
INI5255	HC276	0.656525	0.0274446	0.032567
INI5262	INI5263	0.803338	0.0292724	0.0317858
INI5262	HC276	0.78107	0.038631	0.0403088
INI5263	HC276	0.668337	0.0265519	0.0331014
